	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
0	Corporate Arcadia	Corporate Leisure	Carmelaram	Under Construction	Arcadia is enchantingly designed around peace, amidst the pristine and serene ambience of chikkabellandur, 5 minutes drive from the Wipro corporate office and 10mins drive from Cisco Campus on Outer Ring Road. Arcadia is spread over 5 acres of land with 75% of the available space retained for beautifully designed landscaped areas and amenities. The entire project comprises of 2 Blocks - Block-1 & Block 2, having 3 and 5 wings respectively. A total of 360 flats are aesthetically designed among these Wings.”	Possession date: Apr'19	1404 sq ft(3BHK+2T)	3 BHK	835 - 1,404 sq ft	₹ 35.07 L - ₹ 58.97 L	1, 2, 3 BHK	360	
1	CMRS Rishi Enclave	CMRS	Brookefield	On Hold	CMRS Rishi Enclave is a residential complex in Brookefield, Bangalore. The community has 2 and 3BHK flats on offer whose construction shall begin soon. A total of 74 units have been put up for sale, at prices which range from Rs 42.8 to 57.2 lakhs. The sizes of the apartments vary between 1070 and 1429 sq. ft. The community covers an area of 1 acre, which also comprises of amenities such as swimming pool, gymnasium, cafeteria, club house, intercom services and rainwater harvesting. The CMRS Group has worked on twenty five projects so far, seventeen of which are under construction. Some of these projects are located in Kalyan Nagar and Marathahalli.Brookefield is located close to areas such as Vijayangar, Kannamangala, Segehalli and Belathur. It is bounded by roads such as Old Airport Road and Outer Ring Road. The area is only 11 minutes away from the ITPL and 9 minutes from Whitefield. BMTC buses ply through here to connect it to different parts of the city. The area has several shopping malls (Forum Value Mall), schools (Ryan International School) and hospitals in the vicinity.	Possession date: Apr'18	1429 sq ft(3BHK+3T)	3 BHK	1,070 - 1,429 sq ft	₹ 42.80 L - ₹ 57.16 L	2, 3 BHK	74	
2	SNR Luxuria	SNR Square	Bilekahalli	Pre Launch	SNR Square Luxuria group has launched a premium project in the Bilekahalli region of Bengaluru. The entire project is all set for moving in purpose. The required necessities like park, petrol pump, school, ATM, bank, hospital etc. in the neighbourhood. The amenities provided by this project is a playground for the kids, security for 24 hours and a beautiful landscaped garden, a power backup system for 24 hours and much more. The price of the apartments depends on the request value.Updated with Total Supply-28, Launch Units-28, Availability-13, Price-4500/sqft(Builtup Price), Sales of June'17 are updated with 1 unit.	Possession date: Dec'18	1530 sq ft(3BHK+3T)	3 BHK	1,115 - 1,530 sq ft	₹ 50.17 L - ₹ 68.85 L	2, 3 BHK	28	
3	Ahad Excellencia	Ahad Builders	Avalahalli Off Sarjapur Road	Under Construction		Possession date: Aug'20	1444 sq ft(3BHK+3T)	3 BHK	475 - 1,444 sq ft	₹ 26.17 L - ₹ 75.20 L	1, 2, 3 BHK	505	
4	DS Silver Wood	DS Max Properties	Bommasandra	Under Construction	DS Max Silver Wood is an under construction housing project in Bommasandra, Bangalore. It has apartments of 2 and 3 BHK configuration available through the developer.Spread over 1.15 acre, the community has various facilities on offer alongside the apartments. Some of the conveniences are swimming pool, gymnasium, jogging track, childrens play zone and intercom connectivity. DS Max Properties is one of Bangalores leading property developers which have worked on ninety six properties so far. Forty four projects of theirs are under construction. Electronics City is an IT hub of Bangalore which is towards the south of the city.	Possession date: Sep'18	1745 sq ft(3BHK+2T)	3 BHK	965 - 1,745 sq ft	₹ 24.13 L - ₹ 43.63 L	2, 3 BHK	116	
5	AMP Absolute	AMP	Avalahalli Off Sarjapur Road	On Hold		Possession date: Apr'18	1657 sq ft(3BHK+3T)	3 BHK	1,102 - 1,657 sq ft	₹ 33.61 L - ₹ 50.54 L	2, 3 BHK	60	
6	Aratt Cityscape Apartment	Aratt	Budigere Cross	Under Construction	Cityscape Apartment is a premium housing project launched by Aratt in Budigere Cross, Bangalore. These 2, 3 BHK Apartment in Old Madras Road are available from 1307 sqft to 1508 sqft. Among the many luxurious amenities that the project hosts are Landscaped Gardens, Lift Available, Vaastu Compliant, Football Court, Tennis Court, Swimming Pool etc. Starting at @Rs 3,600 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 47.05 lacs to Rs 54.29 lacs.	Possession date: Dec'18	1536 sq ft(3BHK+3T)	3 BHK	1,307 - 1,536 sq ft	₹ 44.44 L - ₹ 52.22 L	2, 3 BHK	152	
7	Nitesh Virgin Island	Nitesh Estates	Budigere Cross	On Hold	Nitesh Virgin Island is a housing community located in Budigere Cross, Bangalore. Sprawling over an area of 8.15 acres, the community has numerous amenities on offer apart from the residential towers. Some of the amenities offered within include swimming pool, club house, gymnasium, landscaped gardens, kids’ play area, rainwater harvesting and round the clock security. The Nitesh Group was launched in 2004 and within a decade of existence, they have worked on thirty projects. Fifteen of their properties are under construction currently. Apart from Budigere Cross, they have worked on projects in Talaghattapura and Hulimavu.	Possession date: Jun'19	3453 sq ft(4BHK+6T + Servant Room)	4 BHK	460 - 3,453 sq ft	₹ 20.01 L - ₹ 1.50 Cr	1, 2, 3, 4 BHK	723	
8	Bren Starlight	Bren	Budigere Cross	Under Construction	"Bren Starlight Bangalore offers premium 1 BHK, 2 BHK and 3 BHK apartments to buyers.Key amenities on offer at this project include car parking facilities, rainwater harvesting systems, gymnasium, intercom facilities, swimming pool, club house, indoor game facilities, playing zone for children, power backup facilities, 24 hour security services, maintenance services, climbing wall, basketball court, library, community hall, security cabin, tennis court and health facilities.Added amenities include broadband internet connectivity, visitors’ parking, cricket pitch, water features, badminton court, pavilion with barbeque and a skating rink. Located at Budigere Cross, Bangalore.
"	Possession date: Sep'19	1530 sq ft(3BHK+3T)	3 BHK	915 - 1,530 sq ft	₹ 43.92 L - ₹ 73.44 L	1, 2, 3 BHK	194	RERA ID: PR/KN/170729/000368
9	Ksr Basil Apartments	Ksr Properties	Budigere Cross	Under Construction	Basil Apartments is a premium project offering spacious 1, 2 and 3BHK apartments located in Budigere Cross, Bangalore. A total of 344 apartments are available for sale which measure in between 607 to 1667 sq ft. The total area covered by the community is 5.5 acres and comprises of several amenities apart from residential towers. Some of the amenities include Swimming pool, Children's play area, Jogging Track, Party Hall, Indoor Games and Doctors Clinic. Established 16 years ago, KSR Group is one of the highly respected realtors in Bangalore. They have worked on 6 projects so far. Out of which, 3 are under construction. Apart from Basil Apartments, their projects are based in Madhurawada, Budigere Cross, Thanisandra and Hebbal. Budigere Cross is one of the most comfortable areas in Bangalore. It is surrounded by developed areas such as Chikballapur, Jalahalli, Vasanth Nagar, Brookefield and Bommasandra.	Possession date: Dec'18	1667 sq ft(3BHK+3T)	3 BHK	607 - 1,667 sq ft	₹ 21.85 L - ₹ 60.01 L	1, 2, 3 BHK	260	
